"","expr","time","fun_name"
"568","R",38021,"baUtility"
"569","R",36759,"baUtility"
"570","R",36148,"baUtility"
"571","R",36919,"baUtility"
"572","R",36077,"baUtility"
"573","Rcpp",9328,"baUtility"
"574","Rcpp",8576,"baUtility"
"575","Rcpp",8166,"baUtility"
"576","Rcpp",8276,"baUtility"
"577","Rcpp",8205,"baUtility"
"578","R",38613,"baUtility"
"579","R",36659,"baUtility"
"580","Rcpp",9208,"baUtility"
"581","Rcpp",8576,"baUtility"
"582","R",37781,"baUtility"
"583","R",43762,"baUtility"
"584","Rcpp",9127,"baUtility"
"585","Rcpp",8346,"baUtility"
"586","Rcpp",8666,"baUtility"
"587","Rcpp",8236,"baUtility"
"588","Rcpp",8286,"baUtility"
"589","Rcpp",8386,"baUtility"
"590","Rcpp",8325,"baUtility"
"591","Rcpp",8245,"baUtility"
"592","R",39444,"baUtility"
"593","Rcpp",8566,"baUtility"
"594","Rcpp",8846,"baUtility"
"595","R",37430,"baUtility"
"596","Rcpp",8486,"baUtility"
"597","R",37691,"baUtility"
"598","Rcpp",8787,"baUtility"
"599","R",37480,"baUtility"
"600","Rcpp",8887,"baUtility"
"601","R",37230,"baUtility"
"602","R",36860,"baUtility"
"603","R",36598,"baUtility"
"604","R",36989,"baUtility"
"605","Rcpp",9318,"baUtility"
"606","R",36719,"baUtility"
"607","Rcpp",8987,"baUtility"
"608","Rcpp",8546,"baUtility"
"609","Rcpp",8185,"baUtility"
"610","R",37711,"baUtility"
"611","R",36829,"baUtility"
"612","R",37100,"baUtility"
"613","R",36419,"baUtility"
"614","R",36599,"baUtility"
"615","Rcpp",9287,"baUtility"
"616","Rcpp",8386,"baUtility"
"617","Rcpp",8216,"baUtility"
"618","R",38412,"baUtility"
"619","R",37100,"baUtility"
"620","R",36609,"baUtility"
"621","R",37220,"baUtility"
"622","Rcpp",9117,"baUtility"
"623","Rcpp",8707,"baUtility"
"624","Rcpp",8205,"baUtility"
"625","R",37570,"baUtility"
"626","R",37030,"baUtility"
"627","Rcpp",14417,"baUtility"
"628","Rcpp",8617,"baUtility"
"629","Rcpp",8235,"baUtility"
"630","Rcpp",8086,"baUtility"
"631","R",38983,"baUtility"
"632","Rcpp",8666,"baUtility"
"633","Rcpp",8576,"baUtility"
"634","Rcpp",8536,"baUtility"
"635","R",37981,"baUtility"
"636","Rcpp",8646,"baUtility"
"637","Rcpp",8656,"baUtility"
"638","R",37972,"baUtility"
"639","R",36989,"baUtility"
"640","Rcpp",9117,"baUtility"
"641","R",37931,"baUtility"
"642","Rcpp",8667,"baUtility"
"643","Rcpp",8275,"baUtility"
"644","Rcpp",8255,"baUtility"
"645","Rcpp",8116,"baUtility"
"646","Rcpp",8275,"baUtility"
"647","Rcpp",8205,"baUtility"
"648","Rcpp",8246,"baUtility"
"649","Rcpp",8336,"baUtility"
"650","Rcpp",8095,"baUtility"
"651","Rcpp",8236,"baUtility"
"652","Rcpp",8486,"baUtility"
"653","Rcpp",8095,"baUtility"
"654","Rcpp",8717,"baUtility"
"655","Rcpp",8286,"baUtility"
"656","R",39233,"baUtility"
"657","R",37220,"baUtility"
"658","R",37009,"baUtility"
"659","R",36579,"baUtility"
"660","R",36268,"baUtility"
"661","R",36399,"baUtility"
"662","Rcpp",9558,"baUtility"
"663","Rcpp",8396,"baUtility"
"664","Rcpp",8606,"baUtility"
"665","R",37691,"baUtility"
"666","Rcpp",8536,"baUtility"
"667","Rcpp",8315,"baUtility"
"668","R",37571,"baUtility"
"669","R",37551,"baUtility"
"670","R",36438,"baUtility"
"671","Rcpp",9317,"baUtility"
"672","R",36559,"baUtility"
"673","R",36769,"baUtility"
